手机组件功耗参数表（由已上传CSV整理）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CPU,cpu.core_power.cluster1.max,Cluster 1 core current at 2150 MHz,297.918,3.7,1.1022966,CPU high-load coefficient,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L145-L147,Last value of cpu.core_power.cluster1.
Display,screen.on,Screen on at minimum brightness,178.708,3.7,0.6612196,P_screen base,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L149-L150,XML current converted with nominal battery voltage.
Display,screen.full,Additional current at maximum brightness,240.79,3.7,0.890923,P_screen brightness term,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L151-L153,Full-brightness display current = screen.on + screen.full.
Camera,camera.flashlight,Camera flashlight current,298.498,3.7,1.1044426,Optional camera scenario,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L154-L155,
Camera,camera.avg,Average camera subsystem current,1152.292,3.7,4.2634804,Optional camera scenario,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L156-L160,Rough estimate for preview and photos.
Media,video,Additional current when video is playing,50.93,3.7,0.188441,P_video,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L161-L162,
Media,audio,Additional current when audio is playing,75.6,3.7,0.27971999999999997,P_audio,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L163-L164,
Wi-Fi,wifi.controller.idle,Wi-Fi radio idle current,79,3.7,0.2923,P_wifi idle,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L165-L166,Controller voltage in XML is 3700 mV.
Wi-Fi,wifi.controller.rx,Wi-Fi receive current,107,3.7,0.39590000000000003,P_wifi_rx,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L167-L168,Controller voltage in XML is 3700 mV.
Wi-Fi,wifi.controller.tx,Wi-Fi transmit current,371,3.7,1.3727,P_wifi_tx,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L169-L172,Controller voltage in XML is 3700 mV.
Modem,modem.controller.idle,Cellular modem idle current,105,3.7,0.3885,P_modem idle,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L173-L176,Controller voltage in XML is 3700 mV.
Modem,modem.controller.rx,Cellular modem receive current,175,3.7,0.6475,P_modem_rx,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L177-L178,Controller voltage in XML is 3700 mV.
Modem,modem.controller.tx.bin0,"Cellular modem transmit current, bin 0",176,3.7,0.6512,P_modem_tx low bin,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L179-L182,Use as lower transmit-power bin.
Modem,modem.controller.tx.bin1,"Cellular modem transmit current, bin 1",216,3.7,0.7992,P_modem_tx,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L179-L183,
Modem,modem.controller.tx.bin2,"Cellular modem transmit current, bin 2",300,3.7,1.11,P_modem_tx,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L179-L184,
Modem,modem.controller.tx.bin3,"Cellular modem transmit current, bin 3",427,3.7,1.5799,P_modem_tx,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L179-L185,
Modem,modem.controller.tx.bin4,"Cellular modem transmit current, bin 4",604,3.7,2.2348000000000003,P_modem_tx high bin,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L179-L186,Use as high transmit-power bin in weak-signal scenario.
GPS,gps.signalqualitybased.weak,"GPS current, weak/low-quality signal bin",49,3.7,0.18130000000000002,P_gps weak,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L189-L192,XML has two GPS signal-quality bins: 49 mA and 11 mA.
GPS,gps.signalqualitybased.strong,"GPS current, strong/high-quality signal bin",11,3.7,0.0407,P_gps strong,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L189-L193,
Bluetooth,bluetooth.controller.idle,Bluetooth idle current,0.01,3.3,3.3e-05,Optional Bluetooth idle,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L195-L202,Controller voltage in XML is 3300 mV.
Bluetooth,bluetooth.controller.rx,Bluetooth receive current,8,3.3,0.0264,Optional Bluetooth RX,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L197-L202,Controller voltage in XML is 3300 mV.
Bluetooth,bluetooth.controller.tx,Bluetooth transmit current,7,3.3,0.0231,Optional Bluetooth TX,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L199-L202,Controller voltage in XML is 3300 mV.
